County,Total_housing_units,Occupied_housing_units,Owner-occupied,Renter-occupied,Rental_vacancy_rate,Rental_vacancy
"Baldwin County, Alabama",119425,82325,65297,17028,51.1,8701.308
"Calhoun County, Alabama",53809,44636,31479,13157,7.8,1026.246
"Cullman County, Alabama",38256,32090,24314,7776,1.4,108.864
"DeKalb County, Alabama",31606,24880,17793,7087,5.2,368.524
"Elmore County, Alabama",34481,30712,22863,7849,6.9,541.581
"Etowah County, Alabama",47855,40053,29176,10877,10.1,1098.577
"Houston County, Alabama",48138,39761,25807,13954,10.3,1437.262
"Jefferson County, Alabama",309673,264753,161480,103273,9,9294.57
"Lauderdale County, Alabama",45616,38761,24944,13817,4.2,580.314
"Lee County, Alabama",71228,64448,43362,21086,6.6,1391.676
"Limestone County, Alabama",36520,32020,25166,6854,13.9,952.706
"Madison County, Alabama",166523,155878,103919,51959,3,1558.77
"Marshall County, Alabama",40798,35330,24884,10446,3,313.38
"Mobile County, Alabama",185062,155946,98897,57049,7.4,4221.626
"Montgomery County, Alabama",105314,88864,52039,36825,9.4,3461.55
"Morgan County, Alabama",52403,46470,34777,11693,10.9,1274.537
"St. Clair County, Alabama",37258,32829,25631,7198,0,0
"Shelby County, Alabama",89139,84048,68557,15491,7.1,1099.861
"Talladega County, Alabama",38095,30602,22560,8042,4.3,345.806
"Tuscaloosa County, Alabama",92799,74259,46998,27261,5.5,1499.355
"Walker County, Alabama",31343,25153,19645,5508,18.5,1018.98
"Anchorage Municipality, Alaska",119272,105198,64218,40980,11.2,4589.76
"Fairbanks North Star Borough, Alaska",44316,35556,22000,13556,7.8,1057.368
"Matanuska-Susitna Borough, Alaska",42134,32736,24952,7784,4.8,373.632
"Apache County, Arizona",33021,20925,16717,4208,8.7,366.096
"Cochise County, Arizona",61588,51982,35253,16729,2.9,485.141
"Coconino County, Arizona",67491,48993,30131,18862,12.3,2320.026
"Maricopa County, Arizona",1789265,1611722,1019351,592371,4.9,29026.179
"Mohave County, Arizona",116201,91095,65788,25307,1.8,455.526
"Navajo County, Arizona",58501,38732,28206,10526,6.1,642.086
"Pima County, Arizona",466337,410404,258461,151943,6.5,9876.295
"Pinal County, Arizona",181389,153413,120045,33368,6.6,2202.288
"Yavapai County, Arizona",120652,102784,72672,30112,6,1806.72
"Yuma County, Arizona",94648,74042,49099,24943,5.1,1272.093
"Benton County, Arkansas",112180,100749,68376,32373,5.3,1715.769
"Craighead County, Arkansas",46942,41409,24280,17129,5.6,959.224
"Faulkner County, Arkansas",50619,47389,28335,19054,4.2,800.268
"Garland County, Arkansas",51011,41743,29084,12659,8.5,1076.015
"Jefferson County, Arkansas",33397,27593,17760,9833,5.1,501.483
"Lonoke County, Arkansas",30112,26052,18572,7480,3.4,254.32
"Pulaski County, Arkansas",186446,158000,95145,62855,12.4,7794.02
"Saline County, Arkansas",49582,45455,33753,11702,4.8,561.696
"Sebastian County, Arkansas",57421,51384,29255,22129,3.5,774.515
"Washington County, Arkansas",96298,89249,47260,41989,6.3,2645.307
"White County, Arkansas",34037,28621,18535,10086,11.3,1139.718
"Alameda County, California",622957,585632,310526,275106,3.4,9353.604
"Butte County, California",86212,77651,45913,31738,5.6,1777.328
"Contra Costa County, California",418696,399792,261531,138261,4.4,6083.484
"El Dorado County, California",91662,74216,54917,19299,3.8,733.362
"Fresno County, California",336479,315974,169436,146538,4.1,6008.058
"Humboldt County, California",63723,55692,30623,25069,4.7,1178.243
"Imperial County, California",58285,48182,26722,21460,1.9,407.74
"Kern County, California",302927,272888,160392,112496,4.7,5287.312
"Kings County, California",46958,44761,23861,20900,1.8,376.2
"Lake County, California",34566,25968,17475,8493,1.6,135.888
"Los Angeles County, California",3579423,3328398,1511628,1816770,4,72670.8
"Madera County, California",51440,44387,28221,16166,2,323.32
"Marin County, California",113345,105298,65325,39973,1.8,719.514
"Mendocino County, California",41027,34478,20758,13720,4.5,617.4
"Merced County, California",86386,80645,42067,38578,2.4,925.872
"Monterey County, California",143213,128227,67742,60485,5.7,3447.645
"Napa County, California",55659,48107,31820,16287,5.9,960.933
"Nevada County, California",54825,39365,28610,10755,7.3,785.115
"Orange County, California",1118148,1044280,596413,447867,5,22393.35
"Placer County, California",168942,147236,106512,40724,4.6,1873.304
"Riverside County, California",857222,734948,493233,241715,4.7,11360.605
"Sacramento County, California",578966,556752,316102,240650,2.5,6016.25
"San Bernardino County, California",731393,644758,388079,256679,3.7,9497.123
"San Diego County, California",1233923,1132434,609641,522793,4.8,25094.064
"San Francisco County, California",406399,365851,135852,229999,3,6899.97
"San Joaquin County, California",248673,230241,134428,95813,4.7,4503.211
"San Luis Obispo County, California",123969,106512,66483,40029,7.5,3002.175
