"fit_trailer","fit_MHU"
0.313327652660198,0.394672703845894
0.35570809830925,0.437478123428004
0.388765004978987,0.465510772172199
0.482650988966597,0.55735195148432
0.508544493568907,0.589548633974433
0.44030980057026,0.514036154358511
0.378430461775798,0.459733526757706
0.558327717104317,0.636571646702854
0.599511284731744,0.661269237313153
0.576971346518708,0.67067643945042
0.449795687800665,0.532393231066677
0.44893228461693,0.518464181522814
0.500114929783626,0.601630047502496
0.543399970510882,0.630297593955153
0.562434970152553,0.631341438823603
0.473623366594444,0.551883765812287
0.659529804141527,0.728303282845305
0.424516101313901,0.48863626188226
0.424681782744812,0.500957489425739
0.581267688357015,0.650116506147453
0.224108937721507,0.311623293334788
0.314098127601513,0.400333349940675
0.376209066882712,0.45877323390328
0.375710842405452,0.493735892782507
0.340608775156923,0.436306333051398
0.231941957031464,0.330775575648484
0.450040097118787,0.522323117006279
0.583400174973774,0.654347037390151
0.304105935025122,0.386022814822732
0.213347847915401,0.315993511580548
0.4998248758426,0.584003070851321
0.562516679503612,0.646336969053931
0.424254905231772,0.504502075651057
0.404149101082535,0.500513495383508
0.420364496957611,0.521390027307634
0.646852314060221,0.703442540570053
0.302768619793844,0.406652227332208
0.452687870175238,0.527209100166792
0.430919397591955,0.488653476335335
0.276366484202736,0.360691142322681
0.392662306096991,0.455845381292802
0.321721574129106,0.391043433767479
0.353605563341274,0.416859606298687
0.392734632471636,0.456184104901532
0.634571252943712,0.68972757827853
0.59743097163537,0.645673205118503
0.425482668476016,0.494527792027474
0.622838484735644,0.669029115044388
0.297082549783268,0.40572038168647
0.338693371082151,0.431743486475312
0.40542072138204,0.470045004565605
0.67145904987081,0.721091000750127
0.310780400136285,0.384930838477642
0.389428311437958,0.455566857049849
0.296650834027021,0.371477655882586
0.372839212560955,0.4393481672336
0.413399490793129,0.478937855556629
0.410629976242006,0.479190044417101
0.375521445376054,0.455325896753323
0.329801907826881,0.413604084978914
0.385508971399876,0.446027292317613
0.316529865674638,0.398774702001157
0.338897297430855,0.422185422562874
0.590963082827798,0.644790149014191
0.372329936066434,0.439198074951114
0.391008607179841,0.46109053817267
0.332125310052419,0.413393051062301
