"fit_trailer","fit_MHU"
0.315315503361451,0.399790361381353
0.357695148884624,0.442602278350331
0.390685992192545,0.470466659398008
0.485100167380401,0.563638894570925
0.509670932559331,0.59247241348784
0.442239428003133,0.519019605500924
0.380428285265519,0.464864252204033
0.55540587100523,0.629262079221999
0.601371525920876,0.666043885786724
0.580288508110778,0.679161031989742
0.451493921807877,0.536780264115732
0.450741013583303,0.523136666451841
0.50313887562446,0.609390684461049
0.546054358670687,0.637133333202674
0.564831273861868,0.637501340520651
0.472449490660085,0.549012115791943
0.659692949825447,0.728773352147045
0.426107861020177,0.492746023234651
0.425589865642722,0.50335122725546
0.583965750842441,0.657021135328882
0.225426475220169,0.315030582743968
0.315688274513415,0.404447964040904
0.377939996461065,0.463252025074893
0.375251034414411,0.492686902580813
0.342438692891294,0.441047392823588
0.233461336172982,0.334711995224231
0.451822057515617,0.526931538322618
0.585857648211003,0.660668921281254
0.305563815756844,0.38979393874437
0.214867759756151,0.319932908412393
0.502227061019158,0.590186645515743
0.56537702873674,0.653670210168745
0.426081198780208,0.509228904075868
0.406185472539734,0.505791558705744
0.422787572867478,0.527634333283468
0.649506084465617,0.710230576772506
0.304588873096077,0.411372630899881
0.453234211230832,0.528688681565896
0.431916411703812,0.49124753005428
0.277753370958212,0.364280038396958
0.394066428829405,0.459471501533606
0.322991108384069,0.394322757737869
0.354874800646194,0.420136019560483
0.394138347957138,0.459809562298122
0.637145934458805,0.696310580640842
0.599506530870486,0.650997587829071
0.427093756804492,0.498693419596052
0.624961942246532,0.674477126827513
0.298954750348851,0.410577990262809
0.340430872941045,0.436245993534541
0.406884159092775,0.473826053040391
0.674057454122322,0.727733746332983
0.312093236194507,0.388324529990739
0.390863359108132,0.459274853781946
0.297927074803231,0.374776688148168
0.374224520050503,0.442927257882458
0.414903523794128,0.482824698782133
0.412177345300506,0.483190451516836
0.377147905253597,0.459535610972667
0.331344947079895,0.417598778252367
0.386830988705487,0.449440030752646
0.318001114204136,0.402582539372583
0.340461811171932,0.42623565661179
0.593108944661777,0.650299308104107
0.373718651344389,0.44278620427551
0.392515169957045,0.464985697996667
0.333630461904656,0.41728858458081
