County,Total_housing_units,Occupied_housing_units,Owner-occupied,Renter-occupied,Rental_vacancy_rate,Rental_vacancy
"Baldwin County, Alabama",116632,83501,63010,20491,44.2,9057.022
"Calhoun County, Alabama",53888,44264,31036,13228,7.3,965.644
"Cullman County, Alabama",38029,30323,22760,7563,8.3,627.729
"DeKalb County, Alabama",31656,26462,19171,7291,6.1,444.751
"Elmore County, Alabama",34416,30155,22169,7986,5.7,455.202
"Etowah County, Alabama",47847,38625,27383,11242,5,562.1
"Houston County, Alabama",47805,38861,26166,12695,13.9,1764.605
"Jefferson County, Alabama",309579,255940,161306,94634,11,10409.74
"Lauderdale County, Alabama",45468,38670,25516,13154,4.5,591.93
"Lee County, Alabama",70372,59336,36498,22838,11.5,2626.37
"Limestone County, Alabama",36535,32333,25568,6765,9,608.85
"Madison County, Alabama",164263,152723,99434,53289,3.1,1651.959
"Marshall County, Alabama",40812,36022,25544,10478,6.4,670.592
"Mobile County, Alabama",184687,158627,95186,63441,4.7,2981.727
"Montgomery County, Alabama",105170,87553,49547,38006,8.9,3382.534
"Morgan County, Alabama",52284,45851,32658,13193,7.7,1015.861
"St. Clair County, Alabama",37190,30765,23638,7127,1,71.27
"Shelby County, Alabama",88393,80944,65547,15397,7.8,1200.966
"Talladega County, Alabama",37906,31219,21408,9811,2.6,255.086
"Tuscaloosa County, Alabama",93002,74053,46221,27832,5.5,1530.76
"Walker County, Alabama",31249,24870,18736,6134,4.7,288.298
"Anchorage Municipality, Alaska",118233,105285,67637,37648,10.9,4103.632
"Fairbanks North Star Borough, Alaska",44307,36378,21610,14768,8.7,1284.816
"Matanuska-Susitna Borough, Alaska",41986,32198,25124,7074,7.7,544.698
"Apache County, Arizona",32942,21936,17910,4026,6.9,277.794
"Cochise County, Arizona",61318,49751,35702,14049,10.1,1418.949
"Coconino County, Arizona",66838,47275,29699,17576,13.8,2425.488
"Maricopa County, Arizona",1762981,1582464,990183,592281,5.1,30206.331
"Mohave County, Arizona",115269,90270,63654,26616,3.2,851.712
"Navajo County, Arizona",58164,34285,24255,10030,7.5,752.25
"Pima County, Arizona",462778,402323,250634,151689,6.4,9708.096
"Pinal County, Arizona",177186,147936,115511,32425,7,2269.75
"Yavapai County, Arizona",118410,100836,73901,26935,2.4,646.44
"Yuma County, Arizona",93571,74532,48950,25582,7.5,1918.65
"Benton County, Arkansas",108481,100128,67295,32833,3.2,1050.656
"Craighead County, Arkansas",46254,42631,23960,18671,2,373.42
"Faulkner County, Arkansas",50520,43701,28635,15066,14.9,2244.834
"Garland County, Arkansas",51025,40407,26815,13592,10.8,1467.936
"Jefferson County, Arkansas",33382,25689,15201,10488,8.6,901.968
"Lonoke County, Arkansas",29747,28132,19308,8824,2.5,220.6
"Pulaski County, Arkansas",185967,157678,92535,65143,13.5,8794.305
"Saline County, Arkansas",49326,43496,35943,7553,10.5,793.065
"Sebastian County, Arkansas",57229,51739,30246,21493,4.3,924.199
"Washington County, Arkansas",95013,90001,47861,42140,2.6,1095.64
"White County, Arkansas",33954,29577,19016,10561,6.8,718.148
"Alameda County, California",615129,575410,308503,266907,4.5,12010.815
"Butte County, California",100038,88636,51941,36695,7.7,2825.515
"Contra Costa County, California",415955,396133,264098,132035,3.9,5149.365
"El Dorado County, California",91094,72774,55103,17671,4.4,777.524
"Fresno County, California",333809,309519,158439,151080,3.6,5438.88
"Humboldt County, California",63308,55773,29758,26015,2.4,624.36
"Imperial County, California",57893,41764,27470,14294,9.8,1400.812
"Kern County, California",300423,273167,156852,116315,5.1,5932.065
"Kings County, California",46649,43727,23557,20170,2.1,423.57
"Lake County, California",34751,26774,17413,9361,2.9,271.469
"Los Angeles County, California",3561342,3313908,1501284,1812624,3.8,68879.712
"Madera County, California",50971,44484,28419,16065,5.4,867.51
"Marin County, California",113175,104954,67919,37035,3.6,1333.26
"Mendocino County, California",40934,33794,19652,14142,0,0
"Merced County, California",85766,79487,42176,37311,2.9,1082.019
"Monterey County, California",142414,126299,64796,61503,3.8,2337.114
"Napa County, California",55465,47315,30053,17262,3.1,535.122
"Nevada County, California",54264,41447,30711,10736,1.1,118.096
"Orange County, California",1111321,1040394,597488,442906,4,17716.24
"Placer County, California",167122,144691,104689,40002,4.1,1640.082
"Riverside County, California",848646,728103,496576,231527,4.7,10881.769
"Sacramento County, California",574471,543560,311219,232341,4.2,9758.322
"San Bernardino County, California",725921,638647,386204,252443,4.6,11612.378
"San Diego County, California",1224390,1130911,600545,530366,4.3,22805.738
"San Francisco County, California",401478,362827,136242,226585,3.2,7250.72
"San Joaquin County, California",245561,231917,126478,105439,2.8,2952.292
"San Luis Obispo County, California",122971,106198,65080,41118,3.9,1603.602
"San Mateo County, California",279468,259654,157142,102512,5.9,6048.208
"Santa Barbara County, California",158315,146224,76604,69620,1.9,1322.78
"Santa Clara County, California",678530,645108,358369,286739,3.9,11182.821
"Santa Cruz County, California",106718,94994,57087,37907,3.9,1478.373
"Shasta County, California",79187,68198,44402,23796,5.2,1237.392
"Solano County, California",158815,152291,95857,56434,2.9,1636.586
"Sonoma County, California",205247,187434,115244,72190,3,2165.7
"Stanislaus County, California",182305,175171,103691,71480,2.5,1787
"Sutter County, California",34475,31989,19159,12830,6.2,795.46
"Tulare County, California",150217,139197,81862,57335,2.6,1490.71
"Ventura County, California",290984,271980,169964,102016,4.2,4284.672
"Yolo County, California",78527,74428,36107,38321,1.5,574.815
"Yuba County, California",28688,26191,15679,10512,6.5,683.28
"Adams County, Colorado",175623,168361,109135,59226,6,3553.56
"Arapahoe County, Colorado",254250,242141,152482,89659,5.1,4572.609
"Boulder County, Colorado",137465,128295,80352,47943,5.1,2445.093
"Broomfield County, Colorado",28935,28530,18496,10034,N,0
"Denver County, Colorado",330884,310324,152878,157446,5,7872.3
"Douglas County, Colorado",128744,125035,98079,26956,1.8,485.208
"El Paso County, Colorado",275393,260851,171191,89660,4.1,3676.06
"Jefferson County, Colorado",243016,233272,162226,71046,4.7,3339.162
"Larimer County, Colorado",151840,139382,87798,51584,2.8,1444.352
"Mesa County, Colorado",67215,61848,42377,19471,2.2,428.362
"Pueblo County, Colorado",71451,64954,42410,22544,2.1,473.424
"Weld County, Colorado",112472,107929,79628,28301,4.6,1301.846
"Fairfield County, Connecticut",374480,345634,227097,118537,4.9,5808.313
"Hartford County, Connecticut",380441,348049,226364,121685,6.3,7666.155
"Litchfield County, Connecticut",88402,73598,57188,16410,6.9,1132.29
"Middlesex County, Connecticut",76547,66983,50106,16877,10.5,1772.085
"New Haven County, Connecticut",367766,335539,204470,131069,5.8,7602.002
"New London County, Connecticut",123618,108098,71503,36595,5,1829.75
"Tolland County, Connecticut",60041,55619,39809,15810,5.9,932.79
"Windham County, Connecticut",49828,44571,30234,14337,3,430.11
"Kent County, Delaware",73086,67841,46123,21718,3.6,781.848
"New Castle County, Delaware",224481,206351,140075,66276,6.5,4307.94
"Sussex County, Delaware",141092,93479,74947,18532,5.5,1019.26
"District of Columbia, District of Columbia",319579,287476,121540,165936,6.8,11283.648
"Alachua County, Florida",118966,97782,58492,39290,24.6,9665.34
"Bay County, Florida",104325,73856,50328,23528,7.8,1835.184
"Brevard County, Florida",280390,226363,171249,55114,11.5,6338.11
"Broward County, Florida",826949,694980,434007,260973,7,18268.11
"Charlotte County, Florida",105164,74975,62508,12467,14.8,1845.116
"Citrus County, Florida",79988,62293,51628,10665,20.9,2228.985
"Clay County, Florida",81807,75958,56875,19083,3,572.49
"Collier County, Florida",218279,144172,106436,37736,7.7,2905.672
"Columbia County, Florida",29082,25678,19065,6613,7.9,522.427
"Duval County, Florida",412591,367238,201574,165664,5.9,9774.176
"Escambia County, Florida",142454,118820,75328,43492,12.7,5523.484
"Flagler County, Florida",52534,41274,31601,9673,0,0
"Hernando County, Florida",87534,76163,57966,18197,7.4,1346.578
"Highlands County, Florida",55760,40573,31898,8675,4.8,416.4
"Hillsborough County, Florida",590847,540142,313862,226280,6,13576.8
"Indian River County, Florida",81037,57636,47535,10101,34.5,3484.845
"Lake County, Florida",160472,136366,103594,32772,10.9,3572.148
"Lee County, Florida",399741,281222,204852,76370,7.4,5651.38
"Leon County, Florida",131203,113390,61542,51848,7.6,3940.448
"Manatee County, Florida",194567,150814,111636,39178,13.6,5328.208
"Marion County, Florida",170513,143441,108431,35010,7.9,2765.79
"Martin County, Florida",80394,63070,50315,12755,6.9,880.095
"Miami-Dade County, Florida",1032000,895801,459732,436069,5.8,25292.002
"Monroe County, Florida",53457,31362,20083,11279,21.4,2413.706
"Nassau County, Florida",39981,32624,25822,6802,7.1,482.942
"Okaloosa County, Florida",97971,79570,50485,29085,9.7,2821.245
"Orange County, Florida",544460,458157,250540,207617,9.3,19308.381
"Osceola County, Florida",153495,102705,65615,37090,7.2,2670.48
"Palm Beach County, Florida",689961,552286,389660,162626,10.3,16750.478
"Pasco County, Florida",246946,205128,151324,53804,7.4,3981.496
"Pinellas County, Florida",510120,405892,271342,134550,9.1,12244.05
"Polk County, Florida",299432,241171,167947,73224,6.7,4906.008
"Putnam County, Florida",37374,27927,21631,6296,11.7,736.632
"St. Johns County, Florida",110837,90109,74283,15826,3.9,617.214
"St. Lucie County, Florida",142774,118768,87488,31280,7.4,2314.72
"Santa Rosa County, Florida",73056,63891,48977,14914,11.6,1730.024
"Sarasota County, Florida",244020,183721,137462,46259,10.3,4764.677
"Seminole County, Florida",192255,179274,115285,63989,3.5,2239.615
"Sumter County, Florida",72372,62854,54971,7883,25,1970.75
"Volusia County, Florida",262107,218423,156111,62312,7.3,4548.776
"Walton County, Florida",53376,28770,22993,5777,58,3350.66
"Barrow County, Georgia",28952,27525,21265,6260,4.8,300.48
"Bartow County, Georgia",41529,35506,23830,11676,8.1,945.756
"Bibb County, Georgia",70058,57905,29267,28638,7.6,2176.488
"Bulloch County, Georgia",31413,27097,13442,13655,9.7,1324.535
"Carroll County, Georgia",45537,41197,28474,12723,6,763.38
"Catoosa County, Georgia",27528,24722,20230,4492,12.5,561.5
"Chatham County, Georgia",125687,107921,60997,46924,12.3,5771.652
"Cherokee County, Georgia",94241,89974,68173,21801,4.1,893.841
"Clarke County, Georgia",53144,49698,22087,27611,2.9,800.719
"Clayton County, Georgia",105874,96286,50228,46058,9.4,4329.452
"Cobb County, Georgia",302644,283094,182749,100345,5.1,5117.595
"Columbia County, Georgia",58740,47167,39101,8066,19.7,1589.002
"Coweta County, Georgia",55387,52114,37112,15002,8.2,1230.164
"DeKalb County, Georgia",314314,287001,159155,127846,5.7,7287.222
"Dougherty County, Georgia",40590,33717,14863,18854,6.8,1282.072
