County,Total_housing_units,Occupied_housing_units,Owner-occupied,Renter-occupied,Rental_vacancy_rate,Rental_vacancy
"Douglas County, Georgia",53044,49534,30456,19078,4.6,877.588
"Fayette County, Georgia",43032,39366,33135,6231,6.9,429.939
"Floyd County, Georgia",40639,34672,20875,13797,4.2,579.474
"Forsyth County, Georgia",84113,81353,68489,12864,4.8,617.472
"Fulton County, Georgia",480354,417157,223362,193795,9.3,18022.935
"Glynn County, Georgia",43518,34634,22117,12517,15.4,1927.618
"Gwinnett County, Georgia",312905,297658,195362,102296,7.2,7365.312
"Hall County, Georgia",74431,64990,45492,19498,6.5,1267.37
"Henry County, Georgia",82826,75926,55481,20445,8.8,1799.16
"Houston County, Georgia",63959,58155,36433,21722,5.5,1194.71
"Jackson County, Georgia",26070,23640,19398,4242,16.3,691.446
"Lowndes County, Georgia",48525,41734,20116,21618,10.4,2248.272
"Muscogee County, Georgia",85018,72862,34996,37866,7.2,2726.352
"Newton County, Georgia",39691,38436,26830,11606,2.2,255.332
"Paulding County, Georgia",58043,53630,41206,12424,3.5,434.84
"Richmond County, Georgia",89098,70534,35964,34570,13,4494.1
"Rockdale County, Georgia",33852,31460,21141,10319,9.2,949.348
"Spalding County, Georgia",27580,25659,16205,9454,1.7,160.718
"Troup County, Georgia",28636,25417,14617,10800,8,864
"Walker County, Georgia",30460,26895,19317,7578,6.8,515.304
"Walton County, Georgia",34263,32624,23905,8719,4.6,401.074
"Whitfield County, Georgia",40145,36658,23831,12827,9.6,1231.392
"Hawaii County, Hawaii",88548,71565,47396,24169,4.7,1135.943
"Honolulu County, Hawaii",352582,308208,170777,137431,6.2,8520.722
"Kauai County, Hawaii",31242,22685,13438,9247,2.6,240.422
"Maui County, Hawaii",73786,52794,33753,19041,34.5,6569.145
"Ada County, Idaho",186486,178712,124135,54577,1.7,927.809
"Bannock County, Idaho",34441,30635,19996,10639,10.5,1117.095
"Bonneville County, Idaho",43773,40224,27380,12844,3.1,398.164
"Canyon County, Idaho",77888,74520,54692,19828,3.1,614.668
"Kootenai County, Idaho",72500,64955,46714,18241,0.4,72.964
"Twin Falls County, Idaho",33711,32041,22191,9850,6.3,620.55
"Adams County, Illinois",30269,26397,18953,7444,9.3,692.292
"Champaign County, Illinois",93407,84290,45645,38645,10.1,3903.145
"Cook County, Illinois",2200296,1981796,1133395,848401,6.2,52600.862
"DeKalb County, Illinois",41250,38849,22391,16458,2.4,394.992
"DuPage County, Illinois",361414,345714,252204,93510,4.4,4114.44
"Kane County, Illinois",189475,183633,138341,45292,2.7,1222.884
"Kankakee County, Illinois",45644,40642,27289,13353,12.4,1655.772
"Kendall County, Illinois",42209,40716,34523,6193,N,#VALUE!
"Lake County, Illinois",265149,246620,181638,64982,4.7,3054.154
"LaSalle County, Illinois",50149,44714,31341,13373,5.1,682.023
"McHenry County, Illinois",118810,114544,91618,22926,2.8,641.928
"McLean County, Illinois",72676,65998,42798,23200,10.2,2366.4
"Macon County, Illinois",50405,44562,29958,14604,5,730.2
"Madison County, Illinois",119625,108977,77587,31390,5.3,1663.67
"Peoria County, Illinois",83650,71506,45555,25951,9.9,2569.149
"Rock Island County, Illinois",66180,61009,43363,17646,5.2,917.592
"St. Clair County, Illinois",120612,104803,68933,35870,9.6,3443.52
"Sangamon County, Illinois",91928,83006,56263,26743,6.8,1818.524
"Tazewell County, Illinois",59053,54123,39655,14468,3.2,462.976
"Vermilion County, Illinois",36125,30166,20648,9518,13,1237.34
"Will County, Illinois",245197,231647,185673,45974,6.8,3126.232
"Williamson County, Illinois",31375,27815,17901,9914,8.6,852.604
"Winnebago County, Illinois",125731,114337,75919,38418,10,3841.8
"Allen County, Indiana",159269,147638,102421,45217,7.6,3436.492
"Bartholomew County, Indiana",34532,31891,22614,9277,6.6,612.282
"Boone County, Indiana",27548,24808,19182,5626,3.7,208.162
"Clark County, Indiana",51096,45905,31979,13926,9.3,1295.118
"Delaware County, Indiana",52731,45311,29388,15923,6.7,1066.841
"Elkhart County, Indiana",79495,73660,52216,21444,5.3,1136.532
"Floyd County, Indiana",33022,30300,22566,7734,6.7,518.178
"Grant County, Indiana",30494,26923,19947,6976,8.7,606.912
"Hamilton County, Indiana",129530,122876,92965,29911,5.5,1645.105
"Hancock County, Indiana",30586,29605,23662,5943,N,#VALUE!
"Hendricks County, Indiana",63172,60368,47494,12874,1.7,218.858
"Howard County, Indiana",39559,35139,23872,11267,8.2,923.894
"Johnson County, Indiana",61792,57504,41107,16397,5.5,901.835
"Kosciusko County, Indiana",38744,30798,22668,8130,1.8,146.34
"Lake County, Indiana",213773,186769,130957,55812,6.7,3739.404
"LaPorte County, Indiana",49209,43122,31431,11691,5.7,666.387
"Madison County, Indiana",59141,50426,35457,14969,6.7,1002.923
"Marion County, Indiana",424396,373634,198927,174707,8.4,14675.388
"Monroe County, Indiana",62067,57102,31082,26020,4.5,1170.9
"Morgan County, Indiana",28476,25968,20180,5788,13.4,775.592
"Porter County, Indiana",69387,66144,50245,15899,5.5,874.445
"St. Joseph County, Indiana",117089,107730,72539,35191,5.5,1935.505
"Tippecanoe County, Indiana",76740,70446,37675,32771,3.6,1179.756
"Vanderburgh County, Indiana",84494,75058,48209,26849,9.9,2658.051
"Vigo County, Indiana",47525,43262,26561,16701,5.3,885.153
"Wayne County, Indiana",31442,28338,18381,9957,0.7,69.699
"Black Hawk County, Iowa",58321,53386,34980,18406,6,1104.36
"Dallas County, Iowa",38276,35492,24472,11020,4.5,495.9
"Dubuque County, Iowa",41514,38501,27881,10620,8.8,934.56
"Johnson County, Iowa",65024,60868,35303,25565,4.1,1048.165
"Linn County, Iowa",98067,91747,68715,23032,6.3,1451.016
"Polk County, Iowa",204626,189546,128598,60948,6.7,4083.516
"Pottawattamie County, Iowa",40007,36635,24257,12378,2.3,284.694
"Scott County, Iowa",74655,66905,45153,21752,11.1,2414.472
"Story County, Iowa",40766,37290,20584,16706,9.9,1653.894
"Woodbury County, Iowa",42434,39253,25817,13436,7,940.52
"Butler County, Kansas",27082,24692,18964,5728,3.4,194.752
"Douglas County, Kansas",51068,48907,25899,23008,2.7,621.216
"Johnson County, Kansas",244476,231184,158768,72416,4.5,3258.72
"Leavenworth County, Kansas",29998,26654,17252,9402,8.1,761.562
"Riley County, Kansas",31340,26617,11420,15197,9.2,1398.124
"Sedgwick County, Kansas",220923,198024,126139,71885,9.4,6757.19
"Shawnee County, Kansas",80187,72788,46997,25791,13.6,3507.576
"Wyandotte County, Kansas",68301,60708,33599,27109,4.7,1274.123
"Boone County, Kentucky",50035,47684,34628,13056,1.6,208.896
"Bullitt County, Kentucky",31948,29789,24113,5676,0,0
"Campbell County, Kentucky",40545,36992,26529,10463,4.1,428.983
"Christian County, Kentucky",30004,26114,12243,13871,11.4,1581.294
"Daviess County, Kentucky",43375,39590,26680,12910,7.4,955.34
"Fayette County, Kentucky",142688,131067,73100,57967,5.6,3246.152
"Hardin County, Kentucky",47058,41625,25874,15751,7.8,1228.578
"Jefferson County, Kentucky",347119,311263,191497,119766,8.2,9820.812
"Kenton County, Kentucky",69858,64611,42701,21910,2.5,547.75
"McCracken County, Kentucky",32270,27650,17263,10387,1.2,124.644
"Madison County, Kentucky",37060,33396,19592,13804,2.8,386.512
"Oldham County, Kentucky",22293,21237,17570,3667,N,#VALUE!
"Warren County, Kentucky",53976,48843,28922,19921,4.2,836.682
"Ascension Parish, Louisiana",48685,45102,35517,9585,5.7,546.345
"Bossier Parish, Louisiana",57836,50099,32277,17822,14.6,2602.012
"Caddo Parish, Louisiana",113387,94778,55060,39718,10.5,4170.39
"Calcasieu Parish, Louisiana",92041,78351,51835,26516,9.3,2465.988
"East Baton Rouge Parish, Louisiana",195199,163274,98145,65129,10.9,7099.061
"Iberia Parish, Louisiana",30735,25386,16660,8726,6.1,532.286
"Jefferson Parish, Louisiana",188663,167596,101024,66572,6.7,4460.324
"Lafayette Parish, Louisiana",104041,94002,61397,32605,6.4,2086.72
"Lafourche Parish, Louisiana",41623,35838,27196,8642,7.9,682.718
"Livingston Parish, Louisiana",58285,49084,41091,7993,14.1,1127.013
"Orleans Parish, Louisiana",191620,155104,74982,80122,8.1,6489.882
"Ouachita Parish, Louisiana",69035,55599,32427,23172,12,2780.64
"Rapides Parish, Louisiana",58400,48915,30064,18851,7,1319.57
"St. Landry Parish, Louisiana",36932,29965,19628,10337,5,516.85
"St. Tammany Parish, Louisiana",104838,93589,74196,19393,8.6,1667.798
"Tangipahoa Parish, Louisiana",56367,47401,34233,13168,9.2,1211.456
"Terrebonne Parish, Louisiana",45709,37911,28042,9869,7.5,740.175
"Androscoggin County, Maine",50052,44897,27588,17309,3.3,571.197
"Aroostook County, Maine",39986,29931,21214,8717,4.8,418.416
"Cumberland County, Maine",145725,123485,84735,38750,5.6,2170
"Kennebec County, Maine",62913,54299,38885,15414,3.4,524.076
"Penobscot County, Maine",76144,61765,40671,21094,8.4,1771.896
"York County, Maine",111043,88416,63407,25009,2.2,550.198
"Allegany County, Maryland",32830,27190,18996,8194,7.2,589.968
"Anne Arundel County, Maryland",226432,212687,157266,55421,4.6,2549.366
"Baltimore County, Maryland",337245,313259,208733,104526,9,9407.34
"Calvert County, Maryland",35420,32145,26327,5818,3.8,221.084
"Carroll County, Maryland",63725,60371,49822,10549,4.8,506.352
"Cecil County, Maryland",42674,36620,27022,9598,12.5,1199.75
"Charles County, Maryland",61244,56947,43045,13902,2.2,305.844
"Frederick County, Maryland",99032,95903,71410,24493,4.4,1077.692
"Harford County, Maryland",100963,94802,75076,19726,6.1,1203.286
"Howard County, Maryland",120822,116903,83639,33264,4.9,1629.936
"Montgomery County, Maryland",390673,368334,239642,128692,4.9,6305.908
"Prince George's County, Maryland",333858,315759,197187,118572,4.6,5454.312
"St. Mary's County, Maryland",45998,41239,29304,11935,9.4,1121.89
"Washington County, Maryland",61621,56306,36869,19437,6.1,1185.657
"Wicomico County, Maryland",42469,38084,21254,16830,2.8,471.24
"Baltimore city, Maryland",293633,237204,112621,124583,9.8,12209.134
"Barnstable County, Massachusetts",164329,86671,70988,15683,9.8,1536.934
"Berkshire County, Massachusetts",69393,55212,37639,17573,3.4,597.482
"Bristol County, Massachusetts",236308,215132,131246,83886,5.7,4781.502
"Essex County, Massachusetts",313969,295481,185629,109852,2.8,3075.856
"Franklin County, Massachusetts",34164,30391,21569,8822,4.8,423.456
"Hampden County, Massachusetts",193880,178678,107058,71620,3.1,2220.22
"Hampshire County, Massachusetts",64058,58902,38955,19947,10.4,2074.488
"Middlesex County, Massachusetts",641484,612224,376865,235359,2.8,6590.052
"Norfolk County, Massachusetts",280289,267880,181431,86449,3.1,2679.919
"Plymouth County, Massachusetts",208087,189304,146173,43131,1.9,819.489
"Suffolk County, Massachusetts",342069,315049,111167,203882,3,6116.46
"Worcester County, Massachusetts",336474,308831,204024,104807,4.7,4925.929
"Allegan County, Michigan",51517,43992,36483,7509,6.7,503.103
"Bay County, Michigan",48345,44469,33423,11046,2.8,309.288
"Berrien County, Michigan",77645,64783,46949,17834,4.7,838.198
"Calhoun County, Michigan",60879,53914,36821,17093,10.3,1760.579
"Clinton County, Michigan",31967,29783,22810,6973,3.6,251.028
"Eaton County, Michigan",47669,44879,33364,11515,0.9,103.635
"Genesee County, Michigan",192614,169469,115406,54063,6.4,3460.032
"Grand Traverse County, Michigan",44513,36782,27691,9091,9.7,881.827
"Ingham County, Michigan",124135,112170,65187,46983,5.6,2631.048
"Isabella County, Michigan",29272,25367,15960,9407,1.3,122.291
"Jackson County, Michigan",69696,62598,45367,17231,9,1550.79
"Kalamazoo County, Michigan",112806,104234,67276,36958,2.8,1034.824
"Kent County, Michigan",257399,244046,170836,73210,3.2,2342.72
"Lapeer County, Michigan",36804,33560,28554,5006,7.9,395.474
"Lenawee County, Michigan",43877,38388,29192,9196,4.7,432.212
"Livingston County, Michigan",77018,72676,61860,10816,2,216.32
"Macomb County, Michigan",367934,347508,257545,89963,3.9,3508.557
"Marquette County, Michigan",34937,26328,18108,8220,3.5,287.7
"Midland County, Michigan",37115,34091,25020,9071,0.4,36.284
"Monroe County, Michigan",64803,61586,49417,12169,2.4,292.056
"Muskegon County, Michigan",74301,67196,50484,16712,6,1002.72
"Oakland County, Michigan",542836,503645,356739,146906,6.6,9695.796
"Ottawa County, Michigan",110839,103438,82601,20837,6.6,1375.242
"Saginaw County, Michigan",87810,78740,55524,23216,9.5,2205.52
"St. Clair County, Michigan",72380,65751,51543,14208,3.4,483.072
"Shiawassee County, Michigan",30272,28218,20498,7720,1.6,123.52
"Van Buren County, Michigan",37379,28607,22308,6299,3.6,226.764
"Washtenaw County, Michigan",151576,143072,87233,55839,3.5,1954.365
"Wayne County, Michigan",815884,687546,426387,261159,3.4,8879.406
"Anoka County, Minnesota",133184,128140,102915,25225,4.5,1135.125
"Blue Earth County, Minnesota",28815,26362,16593,9769,7.9,771.751
"Carver County, Minnesota",38848,36925,30322,6603,0,0
"Dakota County, Minnesota",168122,162496,120610,41886,3.1,1298.466
"Hennepin County, Minnesota",537775,508964,317008,191956,4,7678.24
"Olmsted County, Minnesota",66669,63462,44114,19348,5.9,1141.532
"Ramsey County, Minnesota",220680,209287,123725,85562,6.3,5390.406
"Rice County, Minnesota",25131,23358,17927,5431,5.8,314.998
"St. Louis County, Minnesota",105006,84370,59200,25170,5.4,1359.18
"Scott County, Minnesota",51942,50040,41357,8683,2.9,251.807
"Sherburne County, Minnesota",34301,32033,25077,6956,0,0
"Stearns County, Minnesota",65280,58510,40185,18325,5.6,1026.2
"Washington County, Minnesota",99481,96387,80061,16326,2.8,457.128
"Wright County, Minnesota",52464,48863,38638,10225,0.5,51.125
"DeSoto County, Mississippi",68524,63075,46324,16751,12.9,2160.879
"Forrest County, Mississippi",33218,27248,14694,12554,12.1,1519.034
"Harrison County, Mississippi",93896,82375,45991,36384,6.5,2364.96
"Hinds County, Mississippi",104339,85483,48419,37064,11.1,4114.104
"Jackson County, Mississippi",62727,51659,33906,17753,14.7,2609.691
"Jones County, Mississippi",29143,25098,18752,6346,5.8,368.068
"Lauderdale County, Mississippi",35349,29993,18931,11062,8,884.96
"Lee County, Mississippi",37051,32527,22060,10467,7.7,805.959
"Madison County, Mississippi",44040,40229,30204,10025,5,501.25
"Rankin County, Mississippi",61489,55483,42636,12847,9.7,1246.159
"Boone County, Missouri",78945,72217,39110,33107,9.2,3045.844
"Buchanan County, Missouri",38800,33621,21584,12037,7.6,914.812
"Cape Girardeau County, Missouri",34210,28675,18338,10337,13,1343.81
"Cass County, Missouri",42442,40197,32040,8157,3.4,277.338
"Christian County, Missouri",34792,31421,23625,7796,4.3,335.228
"Clay County, Missouri",98914,91901,61944,29957,8,2396.56
"Cole County, Missouri",33502,29593,20351,9242,12.4,1146.008
"Franklin County, Missouri",45538,40387,29837,10550,2.6,274.3
"Greene County, Missouri",134555,128691,71279,57412,6,3444.72
"Jackson County, Missouri",325973,288752,169570,119182,5.3,6316.646
"Jasper County, Missouri",51798,47846,30134,17712,3.4,602.208
"Jefferson County, Missouri",91634,85892,69637,16255,7.4,1202.87
"Platte County, Missouri",42374,40086,26757,13329,7.3,973.017
"St. Charles County, Missouri",156335,149951,120587,29364,6.5,1908.66
"St. Francois County, Missouri",30242,25670,16742,8928,6.9,616.032
"St. Louis County, Missouri",441936,408117,273604,134513,5,6725.65
"St. Louis city, Missouri",177169,144295,63011,81284,9.7,7884.548
"Cascade County, Montana",39037,35558,21183,14375,4.5,646.875
"Flathead County, Montana",49088,38372,27663,10709,8.7,931.683
"Gallatin County, Montana",51000,44423,27413,17010,9.1,1547.91
"Lewis and Clark County, Montana",31784,27842,20194,7648,7.7,588.896
"Missoula County, Montana",54922,50401,28869,21532,5,1076.6
"Yellowstone County, Montana",72400,66805,44654,22151,8.4,1860.684
"Douglas County, Nebraska",237325,220858,136347,84511,7.1,6000.281
"Lancaster County, Nebraska",133465,125917,75461,50456,4.9,2472.344
"Sarpy County, Nebraska",69957,66273,44256,22017,5.1,1122.867
"Clark County, Nevada",913385,808605,438284,370321,9.9,36661.779
"Washoe County, Nevada",201065,185709,107324,78385,4.1,3213.785
"Cheshire County, New Hampshire",35724,30208,20863,9345,2.4,224.28
"Grafton County, New Hampshire",53071,35394,24233,11161,6,669.66
"Hillsborough County, New Hampshire",172044,161649,106906,54743,2.4,1313.832
"Merrimack County, New Hampshire",65246,58521,44302,14219,4.6,654.074
"Rockingham County, New Hampshire",133207,119467,92636,26831,6.1,1636.691
"Strafford County, New Hampshire",54311,48393,31847,16546,7.4,1224.404
"Atlantic County, New Jersey",128408,96981,66859,30122,9,2710.98
"Bergen County, New Jersey",359241,339953,220204,119749,3.5,4191.215
"Burlington County, New Jersey",179900,166698,125628,41070,7.7,3162.39
"Camden County, New Jersey",206109,188840,125678,63162,6.1,3852.882
"Cape May County, New Jersey",99427,39208,31531,7677,37.9,2909.583
"Cumberland County, New Jersey",56497,50034,33770,16264,4.3,699.352
"Essex County, New Jersey",318814,289921,129988,159933,4.4,7037.052
"Gloucester County, New Jersey",113907,101414,81032,20382,5.5,1121.01
"Hudson County, New Jersey",284124,263924,87480,176444,3.2,5646.208
"Hunterdon County, New Jersey",50454,47733,39678,8055,0.5,40.275
