"type1","type2","SVI","population","homeownership_rate","wind_34_50","wind_34_down","wind_50_64","wind_64_up","hwm","node1","node2","node3","node4","wind_exp","wind_dur"
34,24,0.7437,84585,77.41977,2,7,0,0,6.399,128.309451059612,114.98542221832,84.3875451904624,67.0735664634253,22.5555555555556,0
47,10,0.9201,32592,67.08815,5,3,1,0,0,51.1459483887996,36.3686853628229,28.8348332767223,37.2638521996134,35.3333333333333,1
1265,2685,0.5186,361853,75.85325,6,3,0,0,11.85,104.676156089134,105.320894480543,101.57779659193,108.186356597946,33.6666666666667,0
13,12,0.8793,42328,69.10649,0,9,0,0,5.37,116.745969700135,102.130266867907,70.3740363377807,50.6991828387544,17,0
229,91,0.8395,21712,70.10539,6,0,2,1,3.95,34.3081804337882,32.1593566585351,38.6319524295539,55.8551034415876,48.6666666666667,3
320,1106,0.2907,41269,82.10065,0,9,0,0,7.5,159.54765801488,160.322725987713,154.325161810653,157.780617615827,17,0
21,60,0.6218,21291,82.12687,7,2,0,0,6.9,99.4117965960366,90.5978181632468,68.6623570218947,63.2340208777924,36.4444444444444,0
31,20,0.7988,20180,74.07427,6,1,2,0,0,69.3855425863221,54.7359127637924,23.1658088888485,9.00090857552235,42.5555555555556,2
30,168,0.3095,25119,78.74621,7,2,0,0,5.85,112.839057408542,101.254076718862,73.5047956187518,60.8401903766149,36.4444444444444,0
864,3880,0.2725,767712,79.26165,6,3,0,0,12.08,109.426115440405,106.142824066432,94.4738115150583,96.0715294859851,33.6666666666667,0
1519,4070,0.5696,334633,69.30513,3,6,0,0,6.53,132.123962879168,133.515292460344,129.703980704129,135.213778046941,25.3333333333333,0
56,9,0.6568,7552,81.2095,7,0,1,1,0,48.3422570930915,32.4529560183659,7.15342367095065,20.9756605569334,47,2
15,8,0.9634,20742,68.24809,4,4,1,0,6.32,92.9810108844439,78.3304839341155,46.6039995580908,27.4598749107711,32.5555555555556,1
24,27,0.8672,27955,77.15943,3,6,0,0,0,160.258833224996,152.509979182825,130.394114475785,121.888215119868,25.3333333333333,0
295,1181,0.2178,57117,81.44545,0,9,0,0,14.25,192.401305500876,191.384809782472,181.115163949327,181.121289910151,17,0
9736,25019,0.702,4657972,58.25091,3,6,0,0,9.63,136.955742185264,134.085373680659,121.814207650692,121.755239918351,25.3333333333333,0
23,4,0.6492,14806,66.96072,7,0,2,0,13,59.8435134071985,53.0722026814821,41.0034196084647,48.5909035172399,45.3333333333333,2
150,155,0.7975,35549,73.68863,0,9,0,0,7.04,223.367202606101,222.003006239916,210.5452605041,209.293611380666,17,0
1339,6394,0.8555,256041,64.70536,0,9,0,0,7.86,183.203686904821,184.605673881461,179.223000231571,182.615000981568,17,0
16,5,0.873,15556,74.44279,7,1,1,0,0,74.408162388825,58.380170919942,31.9601826064143,19.7385069800713,40.8888888888889,1
25,3,0.985,30752,56.59012,2,7,0,0,0,55.6579916508482,56.8774246155495,79.4335801399501,94.9335014307861,22.5555555555556,0
8,3,0.6145,20028,75.29661,5,2,2,0,12,83.2401153466364,71.7605909790179,45.5009091362125,37.7909143720121,39.7777777777778,2
12,8,0.6129,17109,78.67778,3,6,0,0,4.16,138.963364479516,127.091776695343,98.4030762605231,83.5979419279471,25.3333333333333,0
711,1131,0.9357,83597,76.27845,0,9,0,0,9,169.600021441638,167.886520988398,156.795233040929,156.658732218428,17,0
121,122,0.8583,36805,66.42987,7,2,0,0,6.5,68.1715218980804,68.5899379836895,68.3246867033684,79.096425382993,36.4444444444444,0
686,1304,0.3992,571615,73.84146,3,6,0,0,8.62,156.5338168536,151.521456272772,134.520482999397,130.368941290409,25.3333333333333,0
104,149,0.5091,13908,84.11442,0,9,0,0,7,235.303752499236,234.511445410473,223.978558177113,223.240979374442,17,0
551,243,0.8204,361235,60.10277,2,6,1,0,6.42,41.3557534542794,39.4635695381188,60.9003749462559,76.8641152406058,27,1
946,4878,0.5858,84971,77.0464,0,9,0,0,11.6,203.013182005382,204.127480645402,197.781533540332,200.255086863507,17,0
93,108,0.9398,48990,76.30247,0,9,0,0,5.3,199.853236642555,195.963162078339,180.133158297033,176.005349781836,17,0
251,134,0.8959,7180,73.60877,6,0,2,1,4.8,24.0969293946857,8.29545238864061,23.6195988148265,44.2331528763422,48.6666666666667,3
8,2,0.6928,10417,88.40902,0,9,0,0,0,256.393258879796,253.82460604548,239.701979220408,236.193332936165,17,0
179,312,0.7138,28231,80.69185,0,9,0,0,7.4,179.736981767644,175.260122260348,158.712421094274,154.381613203818,17,0
657,305,0.7781,67210,66.417,2,5,1,1,0,32.8511622227216,24.9970368421073,43.1144040100192,59.5757214996099,33.1111111111111,2
60,82,0.8348,21517,84.98558,0,9,0,0,5.95,212.659782606518,210.241584560652,196.952393468247,194.526039381366,17,0
526,211,0.7424,92045,65.16304,6,0,2,1,152.407,48.0230928071532,36.4871146752803,18.25757967113,30.393664479568,48.6666666666667,3
69,43,0.6835,72816,56.21465,1,8,0,0,0,178.755201466146,172.315842102408,152.19335517643,145.01357831211,19.7777777777778,0
98,150,0.8943,51717,69.01383,4,5,0,0,6.79,130.05966568715,123.554563451308,104.591410241998,99.7735514364455,28.1111111111111,0
196,549,0.8325,41837,67.72536,8,1,0,0,8.55,84.7461320405402,79.6310865448553,66.4847454286289,69.1529728338519,39.2222222222222,0
775,482,0.4297,128369,84.53587,3,5,1,0,0,76.047687630347,65.9807144672921,24.4046064720011,24.5206452030442,29.7777777777778,1
364,241,0.7973,20689,78.1067,2,6,1,0,0,65.9989982107707,54.5674005751563,24.0162452838205,44.0728354216508,27,1
837,368,0.8192,453301,62.61774,2,7,0,0,0,98.2820041674231,88.2536733835972,46.2116251847929,15.7448594224665,22.5555555555556,0
165,85,0.7581,19338,82.18788,2,7,0,0,0,113.781027756709,104.455384036478,61.3388130039484,19.445404986102,22.5555555555556,0
101,59,0.9733,68975,67.90411,1,8,0,0,0,93.2915230392776,81.1953459975253,58.900074967098,64.2039245408426,19.7777777777778,0
202,82,0.8851,29824,75.09305,2,7,0,0,0,91.9603829806058,80.6698894180464,44.5553121837826,35.1099453093974,22.5555555555556,0
3757,3112,0.8154,433688,63.46075,3,3,0,3,0,41.489317464151,38.0759057150507,25.5610444337323,60.0783947735085,43.6666666666667,3
1702,3850,0.8625,97504,77.99373,3,3,2,1,0,30.4146936782714,22.0509525204216,22.0424428832177,65.1385790418105,40.3333333333333,3
1198,811,0.543,145830,84.16317,2,5,1,1,0,85.1469982473576,76.4919697584598,33.1446136072312,10.3130383042134,33.1111111111111,2
3615,2262,0.8364,376971,52.49393,3,3,3,0,0,59.9398953755545,57.7400773145016,36.3938881291713,55.3521337941575,38.6666666666667,3
602,461,0.6604,23303,70.0188,2,4,1,2,5.2,37.1042675378144,43.8644200095076,58.6284479331988,93.2501852613721,39.2222222222222,3
43,26,0.7683,20356,77.3937,2,7,0,0,0,121.210866941555,110.21724630259,71.1821479658692,41.9364282555423,22.5555555555556,0
616,323,0.8549,44258,71.60409,3,3,3,0,0,57.2474494587403,59.7610419007495,54.4929059841921,78.1720497397499,38.6666666666667,3
648,1098,0.3294,52282,80.3525,3,3,1,2,0,49.1294609776436,42.4713460555513,12.6061945785127,47.6422391440438,42,3
434,319,0.9424,10912,72.3328,2,6,0,1,0,106.878853156406,98.8384145462417,55.7196913903172,14.1234789968632,28.6666666666667,1
398,601,0.5926,19742,82.83625,3,4,1,1,0,63.7803185510364,53.7976410848583,12.6274972172623,34.45093676849,35.8888888888889,2
880,1591,0.7011,42094,81.13861,4,3,1,1,0,63.3112927625855,55.8186986609374,15.1801363682262,33.1988129735914,38.6666666666667,2
43,31,0.7896,51540,80.25158,1,8,0,0,0,96.1501765820537,84.2836896768295,54.2621428592159,50.5876950289307,19.7777777777778,0
257,181,0.8835,48232,67.17267,3,6,0,0,0,75.2824718226394,63.1821059923934,45.5571614573407,62.7021506720271,25.3333333333333,0
1211,724,0.4793,269388,80.96999,4,3,2,0,0,79.7736525117426,76.3192632635624,45.3169571720505,45.0675112491161,37,2
2151,1761,0.9217,135217,70.17687,2,5,1,1,0,92.4044350461069,85.7684917077012,44.8335885866438,20.4641182926519,33.1111111111111,2
2009,4535,0.8947,108708,74.89739,1,5,3,0,0,39.7436646382678,27.6473071599571,32.3184228402464,71.3384251368792,33.1111111111111,3
490,220,0.9784,45133,71.21836,5,3,1,0,0,105.736086971912,101.143163934655,64.2407372840754,42.1018464946067,35.3333333333333,1
64,38,0.5939,27792,71.70546,2,7,0,0,0,100.456398721289,89.6484177067167,50.1995869518057,27.7875521541453,22.5555555555556,0
29,12,0.4472,15494,73.09032,2,7,0,0,0,124.436835232766,114.091053980472,72.6514741694817,36.1851610029722,22.5555555555556,0
69,14,0.8686,12637,83.57452,3,6,0,0,0,128.611483421944,120.547652412789,77.3451806736985,34.5339903879479,25.3333333333333,0
50,21,0.5761,46055,81.15951,6,3,0,0,0,87.3992964673361,87.2087242787715,65.5797877623205,68.8265971240648,33.6666666666667,0
130,101,0.9293,209396,58.03938,5,4,0,0,0,102.006333156953,103.463742747894,85.4331785187203,87.3372299649787,30.8888888888889,0
88,78,0.7495,143987,73.67317,5,4,0,0,0,119.061261501869,122.358697918213,109.104248689097,112.084110984439,30.8888888888889,0
51,15,0.6595,56503,78.71274,6,3,0,0,0,105.248122300763,103.326673755512,74.0064829207425,63.398643809952,33.6666666666667,0
144,28,0.9701,39973,69.62098,3,5,1,0,0,125.195032554406,118.732275850667,77.3153021472136,40.1451024143413,29.7777777777778,1
115,13,0.8269,13836,86.03332,5,3,1,0,0,123.247678237127,118.130457616579,79.2930044684266,48.6731975830986,35.3333333333333,1
25,1,0.9087,8315,81.03402,2,7,0,0,0,136.713939873263,127.049725329309,84.2825137814024,42.8119740218165,22.5555555555556,0
76,117,0.4871,266309,55.37995,2,5,2,0,0,314.476817952293,302.580541731261,247.469088038573,229.621519961311,31.4444444444444,2
9,31,0.7023,28254,77.51935,3,5,1,0,0,353.05690643101,341.116109578114,286.123484026084,268.196024840465,29.7777777777778,1
37,122,0.9089,27142,70.17544,2,5,2,0,0,329.599360959593,317.645357397939,262.709584475694,244.757406755918,31.4444444444444,2
384,518,0.4266,587769,71.64554,5,1,3,0,0.1,231.787694948909,219.960227581023,170.039925512522,152.93891107454,44.2222222222222,3
793,589,0.5985,1934516,62.10725,1,3,4,1,0,113.566136487707,103.189297188796,73.532467782191,67.2580856971186,43.6666666666667,5
51,78,0.4817,181522,75.57708,2,3,3,1,3.47,146.334112743924,134.460324310312,79.3176757351212,61.5226721797995,42,4
46,46,0.6087,145415,79.53176,3,4,2,0,0,266.695421699276,254.909328702611,199.718347370856,182.10527003867,34.2222222222222,2
68,281,0.3559,212228,74.25214,2,5,2,0,13.33,330.200870791891,318.19671169855,263.648050745629,245.621320673634,31.4444444444444,2
547,654,0.4811,372678,67.72827,1,2,3,3,5.3,97.1902127736477,85.2154171736249,36.1443040982927,22.8745153366163,51.4444444444444,6
34,54,0.859,69999,71.93809,3,5,1,0,0,349.305252531055,337.456083953417,282.282740821723,264.526057928535,29.7777777777778,1
40,111,0.9901,37241,64.44562,3,3,2,1,0,162.367475721416,150.411044505159,95.5513508334487,77.5569747624824,40.3333333333333,3
20,11,0.8453,16615,77.40342,3,5,1,0,0,319.677896061729,308.122959213889,253.189600478149,236.054669743117,29.7777777777778,1
329,749,0.6708,937933,59.07883,5,2,2,0,3.78,350.717293215153,338.697172765817,284.470618180916,266.434726773546,39.7777777777778,2
53,170,0.3352,109999,74.05306,5,2,2,0,0,298.449049670634,286.431653184024,233.061057767994,215.098742861327,39.7777777777778,2
13,6,0.7746,17900,80.46093,3,5,1,0,0,321.78324057171,310.04094138392,254.86682644553,237.330487052315,29.7777777777778,1
24,18,0.9538,13580,72.0869,3,2,2,2,0,148.637345946501,136.695754440757,86.0741201731311,69.2134874438726,46.4444444444444,4
9,0,0.9844,14364,70.87513,3,5,1,0,0,368.669645445454,356.906319457659,301.720709947653,284.130685320816,29.7777777777778,1
35,82,0.9949,27154,68.51174,3,3,3,0,5.46,180.700617079451,168.73057046413,113.943827847064,95.9360859151622,38.6666666666667,3
106,98,0.9955,41018,67.2901,2,2,2,3,1.6,124.780777791399,112.8953046865,64.1713428976248,48.7165444400042,49.7777777777778,5
73,90,0.6157,186704,75.74802,3,4,2,0,5.1,248.717326281116,236.939283860815,181.750517096108,164.162760757171,34.2222222222222,2
148,167,0.8516,103852,71.30065,4,1,3,1,0,171.162757084075,159.154581711239,106.579716875638,88.8970670709087,47.5555555555556,4
271,286,0.6905,1426736,59.60767,3,3,2,1,10.1,210.732368076972,198.976457045397,143.799549825917,126.291477584488,40.3333333333333,3
49,80,0.4769,154241,73.19095,5,1,3,0,0,198.010778982741,186.361719398983,138.95061945214,122.807889796327,44.2222222222222,3
2,3,0.9449,8602,83.52329,3,5,1,0,0,341.797428485767,330.189961078388,275.164226271408,257.901988752494,29.7777777777778,1
154,106,0.6517,345432,71.20357,3,4,2,0,0,256.455063035445,244.44287332639,190.072080882298,172.036013624605,34.2222222222222,2
458,830,0.6364,740000,65.87072,3,2,3,1,4.65,126.228959678149,114.339763339461,59.2334331925367,41.3885220180579,44.7777777777778,4
13,11,0.8497,40276,73.43293,2,5,2,0,0,297.250079469995,285.531553170039,230.376076968765,212.899601033978,31.4444444444444,2
93,96,0.5546,385506,67.81733,3,3,2,1,0,184.022773952437,172.362985130914,117.304283576795,100.115986991389,40.3333333333333,3
178,211,0.765,353339,73.52588,3,4,2,0,0,284.748152208418,272.790419861444,217.880088298067,199.916696701671,34.2222222222222,2
26,34,0.4416,159701,74.63124,3,2,4,0,0,165.40077263872,154.175083176666,112.07629450527,98.337134916812,43.1111111111111,4
1903,1218,0.8344,2713295,55.45565,1,3,4,1,0,84.2658026047588,75.0278127433039,61.6870501558328,63.9429512844629,43.6666666666667,5
1237,1856,0.4728,76483,56.46792,1,3,1,4,5.45,53.6352291598318,42.8626000225232,36.2855409655839,47.4325248067772,48.6666666666667,5
38,62,0.3286,82925,77.92069,3,5,1,0,0,367.729584818645,355.716714143657,301.294165543558,283.260927877184,29.7777777777778,1
53,42,0.9698,41275,70.64018,3,2,3,1,0,176.650731860308,164.848778694488,115.933007893845,99.4319799506334,44.7777777777778,4
371,316,0.6909,1355921,56.15252,6,0,3,0,0,241.534537983062,229.519874643349,176.370636876698,158.462679432209,47,3
163,174,0.8551,353623,58.69926,5,1,3,0,0,215.016748546913,203.040407682947,150.968944255982,133.319363620471,44.2222222222222,3
574,237,0.5718,1470344,66.48902,3,2,4,0,0,140.774273277147,129.81462212535,91.6897444081981,80.3061218896708,43.1111111111111,4
217,173,0.6367,525141,70.43391,3,4,1,1,3.5,233.998413975834,222.235919685929,167.05390444202,149.510968246639,35.8888888888889,2
257,122,0.5174,968341,65.31525,3,3,2,1,0,215.967344739797,204.535422276234,149.944366286944,133.302784444628,40.3333333333333,3
585,610,0.9277,685368,65.67081,2,3,4,0,1.38,207.623586557356,195.615824764728,141.21721512958,123.181057704085,40.3333333333333,4
112,138,0.9516,73384,70.79403,2,5,2,0,0,307.409924554777,295.396642584003,241.010786946777,222.975522939462,31.4444444444444,2
89,88,0.2827,419680,72.46193,4,3,2,0,0,167.545398898951,155.98549028927,101.149104763561,84.3634426038395,37,2
161,184,0.1786,462801,67.20455,6,0,3,0,0,253.923989830962,241.918847149873,189.029493944239,171.160873337178,47,3
85,187,0.0882,243693,76.66989,5,2,2,0,3.3,324.762625373665,312.73908228676,258.981972605353,240.972263685849,39.7777777777778,2
132,255,0.7676,313163,69.83533,3,2,4,0,0,181.685085846232,170.261890624648,125.625439038814,110.641914919673,43.1111111111111,4
63,43,0.2881,124995,89.14719,3,4,2,0,0,254.715404675111,242.783055006381,187.771233657545,169.849672313445,34.2222222222222,2
16,11,0.9643,44124,69.65651,3,5,1,0,0,351.550162742347,339.83320508608,284.67604401092,267.183133965971,29.7777777777778,1
4,11,0.8921,15448,69.01324,3,5,1,0,0,336.528947640394,324.618902571758,269.53603893798,251.663236215248,29.7777777777778,1
229,292,0.5896,537868,68.28473,5,1,3,0,0.1,274.578331218838,262.577594341434,209.747260657617,191.878175721628,44.2222222222222,3
0,0,0.7908,75991,54.238,4,5,0,0,0,474.933469663912,462.913553990075,408.63365772546,390.597765501727,28.1111111111111,0
0,0,0.8577,59147,60.7012,0,9,0,0,0,650.984330525345,640.871331977247,589.940434552778,575.272940982919,17,0
0,0,0.8424,56913,71.51984,3,6,0,0,0,634.188631304876,622.165064052739,568.039849717962,550.004129281599,25.3333333333333,0
0,0,0.2362,11481,74.02479,0,9,0,0,0,965.207680856034,960.227164126409,929.249089594258,922.827250439021,17,0
0,0,0.5616,46600,75.75199,0,9,0,0,0,964.175162094751,958.813750232761,926.224595782054,919.194830337571,17,0
0,0,0.5896,537868,68.28473,5,1,3,0,0.1,274.578331218838,262.577594341434,209.747260657617,191.878175721628,44.2222222222222,3
31,80,0.554,53005,58.66619,5,3,1,0,4.87,386.716744601291,374.695833175896,320.482564798214,302.44662442954,35.3333333333333,1
7,9,0.7775,12810,72.55101,3,5,1,0,0,379.180589545795,367.20359819661,312.387743959839,294.401895469294,29.7777777777778,1
41,60,0.6858,289309,55.33349,5,4,0,0,6.1,451.580204395388,439.566767327428,386.185141706237,368.202280887656,30.8888888888889,0
7,3,0.9475,42880,66.64704,3,6,0,0,0,429.800067416413,417.93775153545,362.776388911688,344.99263122958,25.3333333333333,0
38,106,0.7851,84675,61.56666,5,3,1,0,3.14,404.671183167181,392.647239442351,338.637427888028,320.606851202291,35.3333333333333,1
18,16,0.8106,61619,43.01486,5,4,0,0,2.84,440.575501238391,428.55139330128,374.598654832135,356.569929474316,30.8888888888889,0
9,17,0.5817,14080,77.20089,4,4,1,0,0,420.648297203029,408.624930261204,354.818248089095,336.798790101486,32.5555555555556,1
0,0,0.843,21781,80.63919,3,5,1,0,0,351.896921429093,340.491805390122,285.854697333974,269.010971253154,29.7777777777778,1
0,0,0.978,18474,70.95461,2,6,1,0,0,372.469019959249,360.922293408833,305.990831879874,288.83707169164,27,1
0,0,0.901,115404,53.78345,2,6,1,0,0,392.230633135083,380.548091368246,325.420661674129,307.985371072095,27,1
0,0,0.8914,3914,63.05161,2,6,1,0,0,380.656616170092,368.85776297181,313.665473237397,296.004093487652,27,1
0,0,0.9583,35668,62.86952,2,6,1,0,0,397.057716571613,385.123302242515,330.105565600733,312.191737798113,27,1
0,0,0.9755,6643,68.62217,2,6,1,0,0,390.964551849587,379.099130181489,323.941086918729,306.152204086276,27,1
0,0,0.9481,10425,58.83228,2,6,1,0,0,401.739576790271,389.96782787933,334.779112825111,317.167637474302,27,1
0,0,0.8844,8182,74.59531,3,6,0,0,0,415.158455079106,403.317034205289,348.138371789636,330.393612283886,25.3333333333333,0
0,0,0.8389,11205,70.59819,2,6,1,0,0,427.068667399401,415.12601542744,360.13526669062,342.208618803714,27,1
0,0,0.7297,19197,74.82993,2,6,1,0,0,414.085640383615,402.11020452957,347.279460095095,329.298207899102,27,1
0,0,0.61,18832,78.08496,3,5,1,0,0,403.433718950038,391.433117399021,336.818322743127,318.799870408899,29.7777777777778,1
140,66,0.9134,57455,70.03849,1,7,1,0,0,54.8234152012947,71.3750023398522,152.923695139328,247.09978116913,24.2222222222222,1
313,200,0.768,22697,73.80405,1,7,1,0,0,56.8425774003785,40.9149262328396,129.131308397133,225.883948002113,24.2222222222222,1
584,447,0.5942,36573,80.53512,2,7,0,0,0,51.0676302803177,33.2252569730563,131.313527148213,229.547600215455,22.5555555555556,0
